U5 amp,U5 ang,U8 amp,U8 ang,P5,Q5,P8,Q8,KS an,Time(0-10s),
0.963560024,22.09051411,0.990596995,27.41271051,0.33240012,0.184097193,-0.767655745,-0.110449899,Line6,,
0.963554739,22.08395912,0.990590478,27.4062837,0.332383526,0.184110749,-0.767657248,-0.110436464,Line6,,
0.963549388,22.07688239,0.990583891,27.39934144,0.332366234,0.184124542,-0.767658882,-0.110422933,Line6,,
0.963543974,22.06929329,0.990577235,27.39189245,0.332348309,0.184138557,-0.767660655,-0.1104093,Line6,,
0.963538503,22.0612013,0.990570515,27.38394544,0.332329822,0.184152777,-0.767662574,-0.110395564,Line6,,
0.963532979,22.05261591,0.990563737,27.37550914,0.332310851,0.184167183,-0.767664643,-0.110381725,Line6,,
0.96352741,22.04354669,0.990556907,27.36659229,0.332291476,0.184181752,-0.767666868,-0.110367785,Line6,,
0.963521802,22.03400327,0.990550031,27.35720366,0.332271783,0.18419646,-0.767669251,-0.110353747,Line6,,
0.963516162,22.02399531,0.990543119,27.34735205,0.332251859,0.184211281,-0.767671793,-0.110339619,Line6,,
0.9635105,22.01353249,0.990536177,27.33704629,0.332231793,0.184226186,-0.767674495,-0.110325409,Line6,,
0.963504822,22.00262455,0.990529216,27.32629523,0.332211672,0.184241147,-0.767677355,-0.110311125,Line6,,
0.963499139,21.99128123,0.990522244,27.31510779,0.332191584,0.184256135,-0.76768037,-0.11029678,Line6,,
0.96349346,21.97951227,0.990515271,27.3034929,0.332171615,0.184271118,-0.767683538,-0.110282387,Line6,,
0.963487792,21.96732745,0.990508307,27.29145954,0.332151847,0.184286067,-0.767686851,-0.11026796,Line6,,
0.963482145,21.95473652,0.990501362,27.27901674,0.332132358,0.184300953,-0.767690305,-0.110253514,Line6,,
0.963476529,21.94174921,0.990494445,27.26617355,0.332113223,0.184315747,-0.76769389,-0.110239066,Line6,,
0.96347095,21.92837526,0.990487567,27.25293909,0.332094509,0.18433042,-0.767697599,-0.110224631,Line6,,
0.963465418,21.91462434,0.990480735,27.23932249,0.332076279,0.184344946,-0.767701422,-0.110210228,Line6,,
0.96345994,21.90050611,0.99047396,27.22533292,0.332058587,0.184359301,-0.767705347,-0.110195874,Line6,,
0.963454523,21.88603019,0.990467248,27.21097959,0.332041481,0.18437346,-0.767709365,-0.110181587,Line6,,
0.963449174,21.87120613,0.990460609,27.19627172,0.332025002,0.184387404,-0.767713461,-0.110167383,Line6,,
0.963443899,21.85604343,0.990454049,27.18121857,0.332009183,0.184401113,-0.767717625,-0.110153281,Line6,,
0.963438702,21.84055153,0.990447574,27.1658294,0.331994047,0.184414571,-0.767721843,-0.110139296,Line6,,
0.963433588,21.82473978,0.99044119,27.1501135,0.331979611,0.184427765,-0.767726102,-0.110125445,Line6,,
0.963428562,21.80861748,0.990434901,27.13408013,0.331965884,0.184440682,-0.767730388,-0.110111743,Line6,,
0.963423625,21.79219384,0.990428712,27.11773856,0.331952867,0.184453315,-0.767734689,-0.110098202,Line6,,
0.96341878,21.77547796,0.990422625,27.10109807,0.331940551,0.184465658,-0.76773899,-0.110084837,Line6,,
0.963414028,21.75847889,0.990416643,27.08416789,0.331928923,0.184477707,-0.76774328,-0.110071659,Line6,,
0.96340937,21.74120555,0.990410767,27.06695723,0.33191796,0.184489463,-0.767747545,-0.110058678,Line6,,
0.963404805,21.72366679,0.990404997,27.04947527,0.331907637,0.184500926,-0.767751774,-0.110045903,Line6,,
0.963400332,21.70587135,0.990399332,27.03173114,0.331897918,0.184512103,-0.767755955,-0.110033342,Line6,,
0.963395949,21.68782788,0.990393773,27.01373393,0.331888764,0.184522998,-0.767760078,-0.110021,Line6,,
