Time;Voltage
8,94;1,040862434
8,95;1,040855234
8,96;1,040848
8,97;1,040840728
8,98;1,040833411
8,99;1,040826044
9;1,040818627
9,01;1,040811156
9,02;1,040803634
9,03;1,04079606
9,04;1,040788439
9,05;1,040780775
9,06;1,040773074
9,07;1,040765343
9,08;1,040757589
9,09;1,040749821
9,1;1,040742048
9,11;1,040734278
9,12;1,04072652
9,13;1,040718783
9,14;1,040711074
9,15;1,0407034
9,16;1,040695768
9,17;1,040688182
9,18;1,040680647
9,19;1,040673165
9,2;1,040665738
9,21;1,040658367
9,22;1,04065105
9,23;1,040643788
9,24;1,040636576
9,25;1,040629413
9,26;1,040622294
9,27;1,040615217
9,28;1,040608176
9,29;1,040601168
9,3;1,04059419
9,31;1,040587238
9,32;1,040580308
9,33;1,040573398
9,34;1,040566506
9,35;1,040559631
9,36;1,040552772
9,37;1,040545929
9,38;1,040539102
9,39;1,040532292
9,4;1,040525501
9,41;1,04051873
9,42;1,040511981
9,43;1,040505255
9,44;1,040498555
9,45;1,040491883
9,46;1,040485239
9,47;1,040478625
9,48;1,040472041
9,49;1,040465489
9,5;1,040458967
9,51;1,040452475
9,52;1,040446012
9,53;1,040439577
9,54;1,040433167
9,55;1,040426782
9,56;1,040420418
9,57;1,040414074
9,58;1,040407748
9,59;1,040401437
9,6;1,04039514
9,61;1,040388855
9,62;1,040382582
9,63;1,040376321
9,64;1,040370071
9,65;1,040363834
9,66;1,040357611
9,67;1,040351403
9,68;1,040345214
9,69;1,040339046
9,7;1,040332902
9,71;1,040326787
9,72;1,040320705
9,73;1,040314658
9,74;1,040308652
9,75;1,04030269
9,76;1,040296776
9,77;1,040290913
9,78;1,040285104
9,79;1,040279351
9,8;1,040273656
9,81;1,040268021
9,82;1,040262445
9,83;1,04025693
9,84;1,040251473
9,85;1,040246074
9,86;1,040240732
9,87;1,040235443
9,88;1,040230205
9,89;1,040225016
9,9;1,040219872
9,91;1,04021477
9,92;1,040209707
9,93;1,040204679
9,94;1,040199685
9,95;1,040194721
9,96;1,040189785
9,97;1,040184875
9,98;1,04017999
9,99;1,040175129
10;1,040170291
10,01;1,040165475
10,02;1,040160683
10,03;1,040155914
10,04;1,040151171
10,05;1,040146453
10,06;1,040141762
10,07;1,0401371
10,08;1,040132468
10,09;1,040127868
10,1;1,040123301
10,11;1,040118769
10,12;1,040114273
10,13;1,040109814
10,14;1,040105393
10,15;1,040101011
10,16;1,040096667
10,17;1,040092361
10,18;1,040088095
10,19;1,040083868
10,2;1,040079678
10,21;1,040075526
10,22;1,040071412
10,23;1,040067334
10,24;1,040063292
10,25;1,040059286
10,26;1,040055315
10,27;1,040051379
10,28;1,040047479
10,29;1,040043613
10,3;1,040039783
10,31;1,04003599
10,32;1,040032233
10,33;1,040028513
10,34;1,040024832
10,35;1,040021191
10,36;1,04001759
10,37;1,040014031
10,38;1,040010515
10,39;1,040007042
10,4;1,040003614
10,41;1,040000231
10,42;1,039996894
10,43;1,039993603
10,44;1,039990358
10,45;1,039987158
10,46;1,039984003
10,47;1,039980893
10,48;1,039977826
10,49;1,039974801
10,5;1,039971816
10,51;1,039968871
10,52;1,039965963
10,53;1,03996309
10,54;1,039960251
10,55;1,039957444
10,56;1,039954668
10,57;1,03995192
10,58;1,0399492
10,59;1,039946507
10,6;1,039943838
10,61;1,039941195
10,62;1,039938576
10,63;1,039935981
10,64;1,03993341
10,65;1,039930864
10,66;1,039928342
10,67;1,039925847
10,68;1,039923378
10,69;1,039920936
10,7;1,039918524
10,71;1,039916141
10,72;1,039913789
10,73;1,039911469
10,74;1,039909182
10,75;1,03990693
10,76;1,039904712
10,77;1,03990253
10,78;1,039900384
10,79;1,039898275
10,8;1,039896202
10,81;1,039894166
10,82;1,039892166
10,83;1,039890203
10,84;1,039888276
10,85;1,039886384
10,86;1,039884526
10,87;1,039882703
10,88;1,039880914
10,89;1,039879157
10,9;1,039877433
10,91;1,03987574
10,92;1,039874078
10,93;1,039872446
10,94;1,039870845
10,95;1,039869273
10,96;1,039867731
10,97;1,039866218
10,98;1,039864734
10,99;1,03986328
11;1,039861854
11,01;1,039860458
11,02;1,039859091
11,03;1,039857753
11,04;1,039856445
11,05;1,039855166
11,06;1,039853915
11,07;1,039852694
11,08;1,039851501
11,09;1,039850337
11,1;1,039849201
11,11;1,039848092
11,12;1,03984701
11,13;1,039845955
11,14;1,039844925
11,15;1,03984392
11,16;1,039842939
11,17;1,039841982
11,18;1,039841047
11,19;1,039840135
11,2;1,039839244
11,21;1,039838374
11,22;1,039837524
11,23;1,039836695
11,24;1,039835885
11,25;1,039835095
11,26;1,039834325
11,27;1,039833574
11,28;1,039832844
11,29;1,039832133
11,3;1,039831443
11,31;1,039830775
11,32;1,039830127
11,33;1,039829502
11,34;1,039828899
11,35;1,03982832
11,36;1,039827764
11,37;1,039827231
11,38;1,039826723
11,39;1,03982624
11,4;1,039825782
11,41;1,039825348
11,42;1,03982494
11,43;1,039824556
11,44;1,039824197
11,45;1,039823863
11,46;1,039823552
11,47;1,039823265
11,48;1,039823001
11,49;1,039822759
11,5;1,039822539
11,51;1,03982234
11,52;1,039822162
11,53;1,039822003
11,54;1,039821863
11,55;1,039821742
11,56;1,039821638
11,57;1,039821552
11,58;1,039821483
11,59;1,03982143
11,6;1,039821393
11,61;1,039821373
11,62;1,039821367
11,63;1,039821378
11,64;1,039821403
11,65;1,039821444
